name,group
card,card
card_context,card
company,company
company_email,company
company_location,company
company_phone,company
company_social,company
company_url,company
conversation_assigned_team_history,conversation
conversation_assigned_user_history,conversation
conversation_channel_history,conversation
conversation_history,conversation
customer,customer
customer_active_user,customer
customer_email,customer
customer_external_link,customer
customer_location,customer
customer_phone,customer
customer_shared_email,customer
customer_shared_external_id,customer
customer_shared_phone,customer
customer_shared_social,customer
customer_social,customer
customer_url,customer
customer_watcher,customer
kobject,customer
message,message
message_assigned_team,message
message_assigned_user,message
message_attachment,message
message_created_by_team,message
message_shortcut,message
note,note
note_team_mention,note
note_user_mention,note
queue,queue
team_queue,queue
shortcut,shortcut
shortcut_assigned_teams,shortcut
shortcut_assigned_users,shortcut
shortcut_channel,shortcut
sla,sla
sla_criteria,sla
sla_metric,sla
sla_version,sla
company_tag,tag
conversation_suggested_tag_history,tag
conversation_tag_history,tag
customer_last_conversation_tag,tag
customer_tag,tag
kobject_tag,tag
shortcut_tag,tag
tag,tag
team,team
team_member,team
notification,user
snooze,user
user,user
user_role,user
